name,display_name,scientific_name,category,lookalike_group,toxicity_level,requires_cooking,edible_raw,hunger,morale,energy,description,region,identified,plant_guide_feature
evergreen_blackberry,Evergreen Blackberry,Rubus laciniatus,fruit,,0,False,True,3,2,1,"Sharp thorned vines with sweet berries",Temperate Rainforest Valley,False,True
oregon_grape,Oregon Grape,Mahonia aquifolium,fruit,,0,False,True,2,1,1,"Tart purple berries, spiny leaves",Temperate Rainforest Valley,False,True
poisonberry,Poisonberry,Daphne mezereum,fruit,daphne_group,3,False,False,-10,-10,-10,"Bright red berries, waxy and toxic",Temperate Rainforest Valley,False,True
stinging_nettle,Stinging Nettle,Urtica dioica,green,,1,True,False,4,2,2,"Serrated leaves, stings when raw",Temperate Rainforest Valley,False,True
chickweed,Chickweed,Stellaria media,green,,0,False,True,2,2,1,"Delicate leaves with star-shaped flowers",Temperate Rainforest Valley,False,True
cursed_buttercup,Cursed Buttercup,Ranunculus spp.,green,,2,True,False,-5,0,0,"Glossy leaves, yellow flowers, mildly toxic",Temperate Rainforest Valley,False,True
king_bolete,King Bolete,Boletus edulis,mushroom,,0,False,True,6,3,3,"Thick stem, sponge-like pores, prized edible",Subalpine Forest,False,True
red_cracked_bolete,Red Cracked Bolete,Xerocomellus chrysenteron,mushroom,boletus_group,1,False,True,2,0,1,"Bitter taste, cracking cap",Subalpine Forest,False,True
woolly_milkcap,Woolly Milkcap,Lactarius pubescens,mushroom,,1,True,False,3,1,1,"Hairy cap, must cook well",Subalpine Forest,False,True
mountain_strawberry,Mountain Strawberry,Fragaria virginiana,fruit,,0,False,True,3,2,1,"Small red berries with strong flavor",Subalpine Forest,False,True
highbush_cranberry,Highbush Cranberry,Viburnum edule,fruit,,0,False,True,2,1,1,"Clusters of red berries, tart and juicy",Subalpine Forest,False,True
baneberry,Baneberry,Actaea rubra,fruit,bane_group,3,False,False,-20,-15,-15,"Glossy red or white berries, highly poisonous",Subalpine Forest,False,True
fireweed_shoots,Fireweed Shoots,Chamaenerion angustifolium,green,,0,False,True,2,2,2,"Tender tips edible early season",Subalpine Forest,False,True
lambs_quarters,Lamb’s Quarters,Chenopodium album,green,,0,False,True,3,1,1,"Spinach-like wild green",Subalpine Forest,False,True
false_hellebore,False Hellebore,Veratrum viride,green,,3,False,False,-25,-20,-20,"Large broad leaves, extremely toxic",Subalpine Forest,False,True
snowbank_mushroom,Snowbank Mushroom,Hygrophorus marzuolus,mushroom,,0,False,True,5,2,2,"Grows near melting snow, smooth cap",Alpine Mountain Peak,False,True
alpine_laccaria,Alpine Laccaria,Laccaria montana,mushroom,,0,False,True,4,2,1,"Purple-tinged gills, edible",Alpine Mountain Peak,False,True
frostcap,Frostcap,Mycena pura,mushroom,laccaria_group,1,False,False,-3,0,0,"Delicate pastel cap, mildly toxic",Alpine Mountain Peak,False,True
dwarf_bilberry,Dwarf Bilberry,Vaccinium caespitosum,fruit,,0,False,True,3,2,1,"Low-growing, sweet small berries",Alpine Mountain Peak,False,True
white_alpine_berry,White Alpine Berry,Rubus arcticus,fruit,,0,False,True,3,3,1,"Delicate pale berries, rare and sweet",Alpine Mountain Peak,False,True
snowberry,Snowberry,Symphoricarpos albus,fruit,snow_group,3,False,False,-15,-10,-10,"White waxy berries, toxic if eaten",Alpine Mountain Peak,False,True
mountain_sorrel,Mountain Sorrel,Oxyria digyna,green,,0,False,True,2,2,1,"Tangy red-stemmed leaves",Alpine Mountain Peak,False.True
alpine_chickweed,Alpine Chickweed,Cerastium arvense,green,,0,False,True,2,1,1,"White flowers, fuzzy leaves, edible",Alpine Mountain Peak,False,True
arnica_leaves,Arnica Leaves,Arnica montana,green,,2,False,False,-5,0,0,"Bright yellow flowers, leaves toxic raw",Alpine Mountain Peak,False,True
